iter	Logloss
0	0.6872008495
1	0.6812400379
2	0.6760094942
3	0.6722838586
4	0.6679362915
5	0.6642497128
6	0.6603023454
7	0.6568367851
8	0.6536347474
9	0.6501896809
10	0.6474366161
11	0.6445564878
12	0.6417531527
13	0.6388782004
14	0.636377634
15	0.6333417236
16	0.6304394259
17	0.627455567
18	0.6250489181
19	0.6226218389
20	0.6205155743
21	0.6192533318
22	0.6177317048
23	0.6156771477
24	0.6127914304
25	0.6107759244
26	0.6097385144
27	0.6079206831
28	0.6066489354
29	0.6050653535
30	0.6034966801
31	0.6019520914
32	0.5999265909
33	0.5986106389
34	0.5973904288
35	0.5962412598
36	0.594451251
37	0.5925553851
38	0.5909542595
39	0.5889592739
40	0.5877603444
41	0.5857128774
42	0.5843357275
43	0.582931862
44	0.5814496606
45	0.5798660821
46	0.5789505119
47	0.5771014202
48	0.5757038729
49	0.5744955913
50	0.5732399702
51	0.5713613869
52	0.5692608396
53	0.5672263411
54	0.5658457393
55	0.564350745
56	0.5633256676
57	0.5617130572
58	0.5607516174
59	0.5595139574
60	0.5574756611
61	0.5561808112
62	0.5544315007
63	0.5532470737
64	0.55225109
65	0.5505866063
66	0.549109266
67	0.5478655914
68	0.546636223
69	0.5457259986
70	0.5446314489
71	0.5428088272
72	0.5410586224
73	0.5402264129
74	0.5385046569
75	0.5372582061
76	0.5364791887
77	0.534667171
78	0.5339640629
79	0.5332974448
80	0.5314383574
81	0.5305273669
82	0.5293258299
83	0.5278519567
84	0.5269368359
85	0.5261796989
86	0.5244916962
87	0.5227321754
88	0.5215750633
89	0.5200124966
90	0.5192454945
91	0.5179090432
92	0.5165001823
93	0.5150810123
94	0.5135330613
95	0.5127168313
96	0.5115089011
97	0.5102183131
98	0.5092892622
99	0.5078618907
100	0.5068391737
101	0.5054091727
102	0.5038594116
103	0.5026032247
104	0.5016020708
105	0.4999956924
106	0.4991531896
107	0.4974460602
108	0.4964372852
109	0.4951892545
110	0.4936529279
111	0.492425366
112	0.4914525099
113	0.4905959616
114	0.4889321794
115	0.4877491343
116	0.4866066687
117	0.48561152
118	0.4849100179
119	0.4839697505
120	0.4825380753
121	0.4816997814
122	0.4806365211
123	0.4795886935
124	0.4787423335
125	0.4778813184
126	0.4769126581
127	0.4760488316
128	0.4751528939
129	0.4744110097
130	0.4734465524
131	0.4722072339
132	0.4713013815
133	0.4701597606
134	0.4692285808
135	0.4679054345
136	0.4669186522
137	0.4661562781
138	0.4650237233
139	0.4643599893
140	0.4630832147
141	0.4619337514
142	0.4607800132
143	0.4599738293
144	0.4589520868
145	0.4579999286
146	0.4569397823
147	0.4559464468
148	0.4549593269
149	0.4540639313
150	0.4526931752
151	0.4516396794
152	0.4506908783
153	0.4497913121
154	0.4485784336
155	0.4474370411
156	0.446088067
157	0.4453787672
158	0.444624897
159	0.4433526085
160	0.4424150065
161	0.44107897
162	0.439961269
163	0.4389814506
164	0.4377584208
165	0.4370871213
166	0.4358168877
167	0.4347427644
168	0.4336842922
169	0.4323849896
170	0.431566421
171	0.4306755001
172	0.4301076284
173	0.4292178866
174	0.4280322195
175	0.4271502405
176	0.4258468811
177	0.4246957428
178	0.4234516441
179	0.422847565
180	0.421503653
181	0.4202957159
182	0.4191463351
183	0.4181220901
184	0.4169739809
185	0.4157849397
186	0.4150445658
187	0.4144632939
188	0.4134679065
189	0.4125752823
190	0.4119196343
191	0.4108839742
192	0.4098738449
193	0.4090808083
194	0.4082958622
195	0.4071636484
196	0.406431869
197	0.4054945105
198	0.404005674
199	0.403098418
